charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing
10.1038/s41597-019-0254-8,10.48550/arxiv.2411.15388,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Chiara Mauri;R. Fritz;Jocelyn Mora;Benjamin Billot;Juan Eugenio Iglesias;Koen Van Leemput;Jean C. Augustinack;Douglas N. Greve
10.1038/s41597-019-0254-8,10.1126/sciadv.adr9891,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Rafael Rodríguez‐Rojas;Jorge U Máñez-Miró;José A. Pineda‐Pardo;Marta del Álamo;Raúl Martínez‐Fernández;José Á. Obeso
10.1038/s41597-019-0254-8,10.1016/j.nicl.2024.103709,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Florian Grimm;Michaela Walcker;Luka Milosevic;Georgios Naros;Benjamin Bender;Daniel Weiß;Alireza Gharabaghi
10.1038/s41597-019-0254-8,10.1016/j.jdbs.2024.11.002,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Luke Andrews;Ahmad Ali;Mohammed Elmolla;Simon S. Keller;Maneesh Bhojak;Jibril Osman‐Farah;Antonella Macerollo
10.1038/s41597-019-0254-8,10.1038/s41531-024-00807-x,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Yichen Wang;Linbin Wang;Luis Manssuer;Yijie Zhao;Qiong Ding;Yixin Pan;Peng Huang;Dianyou Li;Valerie Voon
10.1038/s41597-019-0254-8,10.1162/imag_a_00327,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Adam Coates;David Linhardt;Christian Windischberger;Anja Ischebeck;Natalia Zaretskaya
10.1038/s41597-019-0254-8,10.21203/rs.3.rs-3476665/v1,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Bryan A. Strange;Svenja Treu;Juan A. Barcia;Cristina V. Torres;Javier J. González-Rosa;Cristina Nombela;José Pineda;Daniel Torres;Lukas Kunz;Robin Hellerstedt;Josué M. Avecillas-Chasín;Mónica Lara;Marta Navas;Ana Galarza;J. Gómez García;Antonio Oliviero;F. Seijo;Andreas Horn;Ningfei Li;Nikolai Axmacher;Santiago Canals;Blanca Reneses;Anne Bierbrauer
10.1038/s41597-019-0254-8,10.1016/j.media.2023.103041,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Simón Oxenford;Ana Sofía Ríos;Barbara Hollunder;Clemens Neudorfer;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Marwan N. Sabbagh;Stephen Salloway;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Wolf‐Julian Neumann;Bassam Al‐Fatly;Andreas Horn
10.1038/s41597-019-0254-8,10.1038/s44220-023-00128-7,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2023,Jacob L. Stubbs;Joseph J. Taylor;Shan Siddiqi;Frédéric Schaper;Alexander L. Cohen;William Drew;Colleen A. Hanlon;Amir Abdolahi;Henry Z. Wang;William G. Honer;William J. Panenka;Michael Fox
10.1038/s41597-019-0254-8,10.3233/jpd-230181,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Daniel Kroneberg;Bassam Al‐Fatly;Cornelia Morkos;Leon A Steiner;Gerd‐Helge Schneider;Andrea A. Kühn
