"unique_id","doi","doi_no_ver_info","data_id","data_id_merged","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","charite_id_year","in_dcc"
2019,"10.1136/bmjopen-2019-032864","10.1136/bmjopen-2019-032864","https://datadryad.org/stash/dataset/doi:10.5061/dryad.4tmpg4f5f","10.5061/dryad.4tmpg4f5f","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
637,"10.1371/journal.pone.0277831","10.1371/journal.pone.0277831","10.17605/osf.io/xy9qv","//osf.io/xy9qv","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf",NA,"FALSE"
1677,"10.3389/fimmu.2021.535039","10.3389/fimmu.2021.535039","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse129772","gse129772","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
159,"10.15252/msb.202211147","10.15252/msb.202211147","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse202949","gse202949","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
953,"10.1159/000526228","10.1159/000526228","https://www.ncbi.nlm.nih.gov/sra/?term=prjna713953","prjna713953","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1118,"10.1007/s00018-022-04345-8","10.1007/s00018-022-04345-8","https://www.ebi.ac.uk/pride/archive/projects/pxd027734","pxd027734","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
773,"10.1016/j.cell.2022.06.007","10.1016/j.cell.2022.06.007","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse185386","gse185386","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
451,"10.1016/j.cell.2023.07.009","10.1016/j.cell.2023.07.009","https://www.ebi.ac.uk/pride/archive/projects/pxd041665","pxd041665","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
896,"10.1080/19490976.2022.2081475","10.1080/19490976.2022.2081475","https://www.ncbi.nlm.nih.gov/bioproject/prjna782417/","prjna782417","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1674,"10.3201/eid2704.202676","10.3201/eid2704.202676","https://www.ncbi.nlm.nih.gov/nuccore/mw809725","mw809725","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1666,"10.1152/physiolgenomics.00160.2020","10.1152/physiolgenomics.00160.2020","https://doi.org/10.6084/m9.figshare.13490262.v3","10.6084/m9.figshare.13490262","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1121,"10.1002/anie.202113937","10.1002/anie.202113937","https://www.ebi.ac.uk/pride/archive/projects/pxd029034","pxd029034","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
390,"10.1182/blood.2022017230","10.1182/blood.2022017230"," https://www.ebi.ac.uk/pride/archive/projects/pxd030773","pxd030773","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1006,"10.1016/j.ccell.2022.09.001","10.1016/j.ccell.2022.09.001","https://doi.org/10.25345/c53n9d","10.25345/c53n9d","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
1004,"10.3390/ijerph192316124","10.3390/ijerph192316124","https://10.6084/m9.figshare.21370086","10.6084/m9.figshare.21370086","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1902,"10.1126/science.aba9411","10.1126/science.aba9411","https://www.ebi.ac.uk/ena/browser/view/prjeb36265","prjeb36265","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1126,"10.1038/s41467-022-34510-3","10.1038/s41467-022-34510-3","https://doi.org/10.5061/dryad.nzs7h44q2","10.5061/dryad.nzs7h44q2","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
150,"10.1038/s41467-023-36607-9","10.1038/s41467-023-36607-9","https://www.ebi.ac.uk/emdb/emd-16509","emd-16509","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1920,"10.1186/s13104-020-05248-2","10.1186/s13104-020-05248-2","10.17632/9dkwv5w9b3.1","10.17632/9dkwv5w9b3","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
1111,"10.1038/s41467-022-34510-3","10.1038/s41467-022-34510-3","https://osf.io/bckuf/","//osf.io/bckuf","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf",NA,"FALSE"
420,"10.1186/s12943-023-01792-0","10.1186/s12943-023-01792-0","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse181582","gse181582","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
153,"10.1038/s41540-023-00319-z","10.1038/s41540-023-00319-z","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-12203?query=e-mtab-12203","e-mtab-12203","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1846,"10.1038/s41467-020-18151-y","10.1038/s41467-020-18151-y","https://www.synapse.org/#!synapse:syn4983466","syn4983466","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
504,"10.1093/cvr/cvad154","10.1093/cvr/cvad154","https://www.ebi.ac.uk/pride/archive/projects/pxd043601","pxd043601","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
173,"10.1182/blood.2022018246","10.1182/blood.2022018246","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003015.v2.p1","phs003015","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1031,"10.1038/s41588-022-01024-z","10.1038/s41588-022-01024-z","https://doi.org/10.5281/zenodo.5745927","10.5281/zenodo.5745927","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
592,"10.3390/pathogens12091100","10.3390/pathogens12091100","https://www.ncbi.nlm.nih.gov/nuccore/or249959.1","or249959","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1362,"10.1371/journal.pone.0249837","10.1371/journal.pone.0249837","https://figshare.com/articles/dataset/raw_data_of_all_mrsa_outbreak_reports_included_/14383401","10.6084/m9.figshare.14383401","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
