"charite_doi","reusing_paper_doi"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2501.18367"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2501.16215"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2501.16476"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2501.15318"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2501.07555"
"10.1038/s41597-020-0495-6","https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_66.pdf"
"10.1038/s41597-020-0495-6","https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_26.pdf"
"10.1038/s41597-020-0495-6","https://doi.org/10.1038/s41598-024-83218-5"
"10.1038/s41597-020-0495-6","https://doi.org/10.1016/j.patcog.2024.111311"
"10.1038/s41597-020-0495-6","https://doi.org/10.22489/cinc.2024.210"
"10.1038/s41597-020-0495-6","https://doi.org/10.22489/cinc.2024.481"
"10.1038/s41597-020-0495-6","https://doi.org/10.26599/tst.2023.9010162"
"10.1038/s41597-020-0495-6","https://doi.org/10.22489/cinc.2024.229"
"10.1038/s41597-020-0495-6","https://doi.org/10.22489/cinc.2024.225"
"10.1038/s41597-020-0495-6","https://www.proquest.com/dissertations-theses/generative-artificial-intelligence-statistical/docview/3143978098/se-2"
"10.1038/s41597-020-0495-6","https://www.cfaed.tu-dresden.de/files/images/people/chair-pd/papers/peax_for_codai_2024-12-19.pdf"
"10.1038/s41597-020-0495-6","https://doi.org/10.1007/s42979-024-03560-3"
"10.1038/s41597-020-0495-6","https://doi.org/10.1007/s10489-024-05881-5"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2412.14373"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2402.01801"
"10.1038/s41597-020-0495-6","https://doi.org/10.48550/arxiv.2403.06659"
"10.1038/s41597-020-0495-6","https://doi.org/10.1088/1361-6579/ad4954"
"10.1016/j.dib.2021.107320","https://doi.org/10.1097/j.pain.0000000000003193"
"10.1016/j.dib.2022.108739","https://doi.org/10.1016/j.iswa.2024.200382"
