"charite_doi","reusing_paper_doi","publication_year","authors","publication_year_reusing","authors_reusing"
"10.1038/s41597-019-0254-8","10.1093/brain/awac009",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2022,"Christos Ganos;Bassam Al‐Fatly;J. Fischer;Juan-Carlos Baldermann;Christina Hennen;Veerle Visser‐Vandewalle;Clemens Neudorfer;Davide Martino;Jing Li;Tim Bouwens;Linda Ackermanns;Albert F.G. Leentjens;Nadya Pyatigorskaya;Yulia Worbe;Michael Fox;Andrea A. Kühn;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1038/s41593-024-01570-1",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2024,"Barbara Hollunder;Jill L. Ostrem;Ilkem Aysu Sahin;Nanditha Rajamani;Simón Oxenford;Konstantin Butenko;Clemens Neudorfer;Pablo Reinhardt;Patricia Zvarova;Mircea Polosan;Harith Akram;Matteo Vissani;Chencheng Zhang;Bomin Sun;P Navrátil;Martin M. Reich;Jens Volkmann;Fang‐Cheng Yeh;Juan Carlos Baldermann;Till A. Dembek;Veerle Visser‐Vandewalle;Eduardo Joaquim Lopes Alho;Paulo Roberto Franceschini;Pranav Nanda;Carsten Finke;Andrea A. Kühn;Darin D. Dougherty;R. Mark Richardson;Hagai Bergman;Mahlon R. DeLong;Alberto Mazzoni;Luigi Romito;Himanshu Tyagi;Ludvic Zrinzo;Eileen M. Joyce;Stéphan Chabardès;Philip A. Starr;Ningfei Li;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1016/j.neuroimage.2021.118758",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2021,"Jian Li;William H. Curley;Bastien Guérin;Darin D. Dougherty;Adrian V. Dalca;Bruce Fischl;Andreas Horn;Brian L. Edlow"
"10.1038/s41597-019-0254-8","10.1016/j.neuroimage.2021.118649",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2021,"Chengyuan Wu;Francisca Ferreira;Michael Fox;Noam Harel;Jona A. Hattangadi‐Gluth;Andreas Horn;Saâd Jbabdi;Joshua Kahan;Ashwini Oswal;Sameer A. Sheth;Yanmei Tie;Vejay N. Vakharia;Ludvic Zrinzo;Harith Akram"
"10.1038/s41597-019-0254-8","10.1016/j.biopsych.2023.12.010",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2023,"Garance M. Meyer;Barbara Hollunder;Ningfei Li;Konstantin Butenko;Till A. Dembek;Lauren Hart;Cristina Nombela;Philip Mosley;Harith Akram;Nicola Acevedo;Benjamin M. Borron;Tina Chou;Juan Pablo Castaño Montoya;Bryan A. Strange;Juan A. Barcia;Himanshu Tyagi;David Castle;Andrew H. Smith;Ki Sueng Choi;Brian H. Kopell;Helen S. Mayberg;Sameer A. Sheth;Wayne K. Goodman;Albert F.G. Leentjens;R. Mark Richardson;Susan L. Rossell;Peter Bosanac;G. Rees Cosgrove;Jens Kuhn;Veerle Visser‐Vandewalle;Martijn Figee;Darin D. Dougherty;Shan Siddiqi;Ludvic Zrinzo;Eileen M. Joyce;Juan Carlos Baldermann;Michael Fox;Clemens Neudorfer;Andreas Horn"
"10.1038/s41597-019-0254-8","10.3174/ajnr.a6693",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2020,"Erik H. Middlebrooks;Ricardo A. Domingo;Tito Vivas-Buitrago;Lela Okromelidze;Takashi Tsuboi;Joshua K. Wong;Robert S. Eisinger;Leonardo Almeida;Matthew R. Burns;Andreas Horn;Ryan J. Uitti;Robert E. Wharen;Vanessa M. Holanda;Sanjeet S. Grewal"
"10.1038/s41597-019-0254-8","10.1016/j.media.2023.103041",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2023,"Simón Oxenford;Ana Sofía Ríos;Barbara Hollunder;Clemens Neudorfer;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Marwan N. Sabbagh;Stephen Salloway;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Wolf‐Julian Neumann;Bassam Al‐Fatly;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1016/j.nicl.2021.102846",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2021,"Erik H. Middlebrooks;Lela Okromelidze;Joshua K. Wong;Robert S. Eisinger;Mathew R Burns;Ayushi Jain;Hsin-Pin Lin;Jun Yu;Enrico Opri;Andreas Horn;Lukas Goede;Kelly D. Foote;Michael S. Okun;Alfredo Quiñones‐Hinojosa;Ryan J. Uitti;Sanjeet S. Grewal;Takashi Tsuboi"
"10.1038/s41597-019-0254-8","10.7554/elife.72929",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2022,"Simón Oxenford;Jan Roediger;Clemens Neudorfer;Luka Milosevic;Christopher Güttler;Philipp Spindler;Peter Vajkoczy;Wolf‐Julian Neumann;Andrea A. Kühn;Andreas Horn"
"10.1038/s41597-019-0254-8","10.1093/brain/awae173",2019,"Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe",2024,"Georgios P. Skandalakis;Clemens Neudorfer;Caitlin A Payne;Evalina Bond;Armin D. Tavakkoli;Jessica Barrios‐Martinez;Anne C. Trutti;Christos Koutsarnakis;Volker A. Coenen;Spyridon Komaitis;Constantinos G. Hadjipanayis;George Stranjalis;Fang‐Cheng Yeh;Layla Banihashemi;Jennifer Hong;Andrés M. Lozano;Michael D. Kogan;Andreas Horn;Linton T. Evans;Aristotelis Kalyvas"
"10.1038/s41597-020-00597-w","10.1016/j.specom.2021.06.002",2020,"Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer",2021,"Peter Birkholz;Susanne Drechsel"
"10.1038/s41597-020-00597-w","10.1121/10.0019682",2020,"Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer",2023,"Peter Birkholz;Rémi Blandin;Steffen Kürbis"
"10.1038/s41597-020-00597-w","https://hal.science/hal-03848459/",2020,"Peter Birkholz;Steffen Kürbis;Simon Stone;Patrick Häsner;Rémi Blandin;Mario Fleischer",NA,"Peter Birkholz"
"10.1038/s41597-020-0487-6","10.1038/s41467-024-45339-3",2020,"G. Specht;Hanna P. Roetschke;Artem Mansurkhodzhaev;Petra Henklein;Kathrin Textoris‐Taube;Henning Urlaub;Michele Mishto;Juliane Liepe",2024,"Wai Tuck Soh;Hanna P. Roetschke;John A. Cormican;Bei Fang Teo;Nyet Cheng Chiam;Monika Raabe;Ralf Pflanz;F. Henneberg;Stefan Becker;Ashwin Chari;Haiyan Liu;Henning Urlaub;Juliane Liepe;Michele Mishto"
"10.1038/s41597-020-0487-6","10.3389/fimmu.2021.614276",2020,"G. Specht;Hanna P. Roetschke;Artem Mansurkhodzhaev;Petra Henklein;Kathrin Textoris‐Taube;Henning Urlaub;Michele Mishto;Juliane Liepe",2021,"Artem Mansurkhodzhaev;Camila R. R. Barbosa;Michele Mishto;Juliane Liepe"
"10.1038/s41597-020-0487-6","10.1038/s41597-022-01890-6",2020,"G. Specht;Hanna P. Roetschke;Artem Mansurkhodzhaev;Petra Henklein;Kathrin Textoris‐Taube;Henning Urlaub;Michele Mishto;Juliane Liepe",2023,"Hanna P. Roetschke;Guillermo Rodriguez-Hernandez;John A. Cormican;Xiaoping Yang;Steven Lynham;Michele Mishto;Juliane Liepe"
"10.1038/s41597-020-0487-6","10.3389/fimmu.2021.679836",2020,"G. Specht;Hanna P. Roetschke;Artem Mansurkhodzhaev;Petra Henklein;Kathrin Textoris‐Taube;Henning Urlaub;Michele Mishto;Juliane Liepe",2021,"Michele Mishto;Guillermo Rodriguez-Hernandez;Jacques Neefjes;Henning Urlaub;Juliane Liepe"
"10.1016/j.dib.2021.107320","10.1172/jci.insight.154395",2021,"Christian Schinke;Valeria Fernández Vallone;Andranik Ivanov;Yangfan Peng;Péter Körtvélyessy;Luca Nolte;Petra Huehnchen;Dieter Beule;Harald Stachelscheid;Wolfgang Boehmerle;Matthias Endres",2022,"Petra Huehnchen;Christian Schinke;Nikola Bangemann;Adam D. Dordevic;Johannes S. Kern;Smilla K. Maierhof;Lois Hew;Luca Nolte;Péter Körtvélyessy;Jens Göpfert;Klemens Ruprecht;Christopher J. Somps;Jens‐Uwe Blohmer;Jalid Sehouli;Matthias Endres;Wolfgang Boehmerle"
"10.1038/s41597-022-01401-7","10.48550/arxiv.2411.19564",2022,"Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu",2024,"William Pham;A Jarema;Donggyu Rim;Zhibin Chen;Mohamed Salah Khlif;Vaughan G. Macefield;Luke A. Henderson;Amy Brodtmann"
"10.1038/s41597-022-01401-7","10.1093/braincomms/fcae254",2022,"Sook‐Lei Liew;Bethany Lo;Miranda R. Donnelly;Artemis Zavaliangos‐Petropulu;Jessica N. Jeong;Giuseppe Barisano;A. Hutton;Julia Pia Simon;Julia M. Juliano;Anisha Suri;Zhizhuo Wang;Aisha Abdullah;Jun Kim;Tyler Ard;Nerisa Banaj;Michael R. Borich;Lara A. Boyd;Amy Brodtmann;Cathrin M. Buetefisch;Lei Cao;Jessica M. Cassidy;Valentina Ciullo;Adriana Bastos Conforto;Steven C. Cramer;Rosalía Dacosta‐Aguayo;Ezequiel de la Rosa;Martin Domín;Adrienne N. Dula;Wuwei Feng;Alexandre R. Franco;Fatemeh Geranmayeh;Alexandre Gramfort;Chris M. Gregory;Colleen A. Hanlon;Brenton Hordacre;Steven A. Kautz;Mohamed Salah Khlif;Hosung Kim;Jan S. Kirschke;Jingchun Liu;Martín Lotze;Bradley J. MacIntosh;María Mataró;Feroze B. Mohamed;Jan Egil Nordvik;Gilsoon Park;Amy Pienta;Fabrizio Piras;Shane M. Redman;Kate Revill;Mauricio Reyes;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Gianfranco Spalletta;Alison Sweet;Maria Teleńczuk;Gregory Thielman;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Chunshui Yu",2024,"Emily Olafson;Christoph Sperber;Keith Jamison;Mark Bowren;Aaron D. Boes;Justin W. Andrushko;Michael R. Borich;Lara A. Boyd;Jessica M. Cassidy;Adriana Bastos Conforto;Steven C. Cramer;Adrienne N. Dula;Fatemeh Geranmayeh;Brenton Hordacre;Neda Jahanshad;Steven A. Kautz;Bethany P. Tavenner;Bradley J. MacIntosh;Fabrizio Piras;Andrew D. Robertson;Na Jin Seo;Surjo R. Soekadar;Sophia I. Thomopoulos;Daniela Vecchio;Timothy B. Weng;Lars T. Westlye;Carolee J. Winstein;George F. Wittenberg;Kristin A. Wong;Paul M. Thompson;Sook‐Lei Liew;Amy Kuceyeski"
"10.1038/s41597-022-01822-4","10.1038/s41386-023-01588-2",2022,"Johanna Prugger;Ekin Derdiyok;Jannis Dinkelacker;Cyril Costines;Timo Torsten Schmidt",2023,"Tim Hirschfeld;Johanna Prugger;Tomislav Majić;Timo Torsten Schmidt"
"10.1038/s41597-022-01822-4","10.1038/s41386-023-01588-2",2022,"Johanna Prugger;Ekin Derdiyok;Jannis Dinkelacker;Cyril Costines;Timo Torsten Schmidt",2023,"Tim Hirschfeld;Johanna Prugger;Tomislav Majić;Timo Torsten Schmidt"
