"charite_doi","reusing_paper_doi","publication_year","authors","publication_year_reusing","authors_reusing"
"10.1038/s41597-020-0495-6","10.70135/seejph.vi.5179",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1038/s41597-020-0495-6","10.1016/j.ymeth.2025.01.01",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1038/s41597-020-0495-6","https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_66.pdf",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1038/s41597-020-0495-6","https://damdid2024.frccsc.ru/files/papers/damdid_2024_paper_26.pdf",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1038/s41597-020-0495-6","https://www.proquest.com/dissertations-theses/generative-artificial-intelligence-statistical/docview/3143978098/se-2",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1038/s41597-020-0495-6","https://www.cfaed.tu-dresden.de/files/images/people/chair-pd/papers/peax_for_codai_2024-12-19.pdf",2020,"Patrick Wagner;Nils Strodthoff;Ralf-Dieter Bousseljot;D. Kreiseler;Fatima I. Lunze;Wojciech Samek;Tobias Schaeffter",NA,NA
"10.1016/j.dib.2022.108739","https://openaccess.thecvf.com/content/cvpr2024w/dcami/html/redekop_codebook_vq-vae_approach_for_prostate_cancer_diagnosis_using_multiparametric_mri_cvprw_2024_paper.html",2022,"Lisa C. Adams;Marcus R. Makowski;Günther Engel;Maximilian Rattunde;Felix Busch;Patrick Asbach;Stefan M. Niehues;Shankeeth Vinayahalingam;Bram van Ginneken;Geert Litjens;Keno K. Bressem",NA,NA
