doi_charite,charite_data_id_or_acc_nr,category,id,created,updated,repository,publisher,journal,title,doi_dcc,publishedDate,source,subjects,affiliations,affiliationsROR,funders,fundersROR,publication_year_charite,authors_charite,publication_year_dcc,authors_dcc
10.1038/s41467-023-38044-0,gse64415,acc_nr,ef2cd4f0-1dc4-4607-aada-4c99d9486cc2,9/27/2023,11/21/2023,gene expression omnibus (geo),mdpi ag,cancers,,10.3390/cancers13020330,1/18/2021,czi,basic medicine; biological sciences,,,,,2023,Konstantin Okonechnikov;Aylin Camgöz;Owen Chapman;Sameena Wani;Donglim Esther Park;Jens-Martin Hübner;Abhijit Chakraborty;Meghana S. Pagadala;Rosalind Bump;Sahaana Chandran;Katerina Kraft;Rocío Acuña‐Hidalgo;Derek A. Reid;Kristin Sikkink;Monika Mauermann;Edwin F. Juarez;Anne Jenseit;James Robinson;Kristian W. Pajtler;Till Milde;Natalie Jäger;Petra Fiesel;Ling Morgan;Sunita Sridhar;Nicole G. Coufal;Michael L. Levy;Denise Malicki;Charlotte A. Hobbs;Stephen F. Kingsmore;Shareef Nahas;Matija Snuderl;John R. Crawford;Robert J. Wechsler‐Reya;Tom B. Davidson;Jennifer A. Cotter;George Michaiel;Gudrun Fleischhack;Stefan Mundlos;Anthony Schmitt;Hannah Carter;Kulandaimanuvel Antony Michealraj;Sachin Kumar;Michael D. Taylor;Jeremy N. Rich;Frank Buchholz;Jill P. Mesirov;Stefan M. Pfister;Ferhat Ay;Jesse R. Dixon;Marcel Kool;Lukas Chávez,2021,Clara Andradas;Jacob Byrne;Mani Kuchibhotla;Mathew Ancliffe;Anya C. Jones;Brooke Carline;Hilary Hii;Alexandra Truong;Lisa Storer;Timothy Ritzmann;Richard G. Grundy;Nicholas G. Gottardo;Raelene Endersby
10.1007/s00401-020-02250-7,gse70678,acc_nr,5921b4bc-7b9f-4ffe-a35f-0ee6f3fc7bcc,9/25/2023,11/8/2023,gene expression omnibus (geo),frontiers media sa,frontiers in oncology,,10.3389/fonc.2019.01173,11/6/2019,czi,biological sciences; basic medicine,,,,,2020,Dörthe Holdhof;Pascal D. Johann;Michael Spohn;Michael Bockmayr;Sepehr Safaei;Piyush Joshi;Julien Masliah‐Planchon;Ben Ho;Mamy Andrianteranagna;Franck Bourdeaut;Annie Huang;Marcel Kool;Santhosh A. Upadhyaya;Anne Bendel;Daniela Indenbirken;William D. Foulkes;Jonathan W. Bush;David Creytens;Uwe Kordes;Michael C. Frühwald;Martin Hasselblatt;Ulrich Schüller,2019,Ariadna Boloix;Marc Masanas;Carlos Jiménez;Roberta Antonelli;Aroa Soriano;Josep Roma;Joan Sánchez-de-Toledo;Soledad Gallego;Miguel F. Segura
10.1136/gutjnl-2020-321016,gse73338,acc_nr,f4a78ec2-b2cd-40fa-bc3b-42ca26460f51,9/26/2023,11/19/2023,gene expression omnibus (geo),springer science and business media llc,cell death & disease,,10.1038/s41419-021-03938-8,6/28/2021,czi,basic medicine; biological sciences,,,,,2020,Kate Young;Rita T. Lawlor;Chanthirika Ragulan;Yatish Patil;Andrea Mafficini;Samantha Bersani;Davide Antonello;David Mansfield;Sara Cingarlini;Luca Landoni;Antonio Pea;Claudio Luchini;Liliana Piredda;Nagarajan Kannan;Gift Nyamundanda;Daniel L. Morganstein;Ian Chau;Bertram Wiedenmann;Michèle Milella;Alan Melcher;David Cunningham;Naureen Starling;Aldo Scarpa;Anguraj Sadanandam,2021,Gang Ma;Guichen Li;Wufeng Fan;Yuanhong Xu;Shaowei Song;Kejian Guo;Zhe Liu
10.1016/j.lfs.2021.119158,gse94916,acc_nr,5b53208d-90d0-44b2-9185-afde8648dc5d,9/27/2023,11/1/2023,gene expression omnibus (geo),ovid technologies (wolters kluwer health),medicine,,10.1097/md.0000000000027737,11/19/2021,czi,basic medicine; biological sciences,,,,,2021,Wilhelm Bertrams;Kathrin Griss;Maria Han;Kerstin Seidel;Stefan Hippenstiel;Norbert Suttorp;Florian Finkernagel;Jochen Wilhelm;Claus Vogelmeier;Bernd Schmeck,2021,Jihua Zhang;Jie Liu;Shuanglan Xu;Xiaochao Yu;Yi Zhang;Xiao Li;Liqiong Zhang;Jiao Yang;Xiqian Xing
10.1038/s41598-020-66334-w,phs000090,acc_nr,de1360e3-a775-4686-a6d7-c5b52b82e895,9/27/2023,10/27/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),springer science and business media llc,nature communications,,10.1038/s41467-017-02769-6,3/7/2018,czi,biological sciences; basic medicine,,,,,2020,Peggy Sekula;Adrienne Tin;Ulla T. Schultheiß;Seema Baid‐Agrawal;Robert P. Mohney;Inga Steinbrenner;Bing Yu;Shengyuan Luo;Eric Boerwinkle;Kai‐Uwe Eckardt;Josef Coresh;Morgan E. Grams;Anna Köttgen,2018,Robert Maier;Zhihong Zhu;Sang Lee;Maciej Trzaskowski;Douglas M. Ruderfer;Eli A. Stahl;Stephan Ripke;Naomi R. Wray;Jian Yang;Peter M. Visscher;Matthew R. Robinson
10.1038/s41588-021-00973-1,phs000101,acc_nr,f0ad9849-2f5b-414f-bd9b-b726541bfbfc,9/11/2023,9/11/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),f1000 research ltd,f1000research,,10.12688/f1000research.53821.2,11/29/2021,czi,biological sciences; basic medicine,,,,,2021,Wouter van Rheenen;Rick A. A. van der Spek;Mark K. Bakker;Joke J.F.A. van Vugt;Paul J. Hop;Ramona A. J. Zwamborn;Niek de Klein;Harm-Jan Westra;Olivier B. Bakker;Patrick Deelen;Gemma Shireby;Eilís Hannon;Matthieu Moisse;Denis Baird;Restuadi Restuadi;Egor Dolzhenko;Annelot M. Dekker;Klara Gawor;Henk‐Jan Westeneng;Gijs H.P. Tazelaar;Kristel R. van Eijk;Maarten Kooyman;Ross P. Byrne;Mark A. Doherty;Mark Heverin;Ahmad Al Khleifat;Alfredo Iacoangeli;Aleksey Shatunov;Nicola Ticozzi;Johnathan Cooper‐Knock;Bradley Smith;Marta Gromicho;Siddharthan Chandran;Suvankar Pal;Karen Morrison;Pamela J. Shaw;John Hardy;Richard W. Orrell;Michael Sendtner;Thomas Meyer;Nazlı Başak;Anneke J. van der Kooi;Antonia Ratti;Isabella Fogh;Cinzia Gellera;Giuseppe Lauria;Stefania Corti;Cristina Cereda;Daisy Sproviero;Sandra D’Alfonso;Gianni Sorarù;Gabriele Siciliano;Massimiliano Filosto;Alessandro Padovani;Adriano Chiò;Andrea Calvo;Cristina Moglia;Maura Brunetti;Antonio Canosa;Maurizio Grassano;Ettore Beghi;Elisabetta Pupillo;Giancarlo Logroscino;Beatrice Nefussy;Alma Osmanovic;Angelica Nordin;Yossef Lerner;Michal Zabari;Marc Gotkine;Robert H. Baloh;Shaughn Bell;Patrick Vourc’h;Philippe Corcia;Philippe Couratier;Stéphanie Millecamps;Vincent Meininger;François Salachas;Jesus S. Mora Pardina;Abdelilah Assialioui;Ricardo Rojas-García;Patrick A. Dion;Jay P. Ross;Albert C. Ludolph;Jochen H. Weishaupt;Dávid Brenner;Axel Freischmidt;Gilbert Bensimon;Alexis Brice;Alexandra Durr;C. Payán;Safa Saker-Delye;Nicholas Wood;Simon Topp;Rosa Rademakers;Lukas Tittmann;Wolfgang Lieb;André Franke;Stephan Ripke;Alice Braun;Julia Kraft;David C. Whiteman;Catherine M. Olsen;André G. Uitterlinden;Albert Hofman;Marcella Rietschel;Sven Cichon;Markus M. Nöthen;Philippe Amouyel;Giancarlo Comi;Nilo Riva;Christian Lunetta;Francesca Gerardi;Maria Sofia Cotelli;Fabrizio Rinaldi;Luca Chiveri;Maria Cristina Guaita;Patrizia Perrone;Mauro Ceroni;Luca Diamanti;Carlo Ferrarese;Lucio Tremolizzo;Maria Luisa DeLodovici;Giorgio Bono;Antonio Canosa;Umberto Manera;Rosario Vasta;Alessandro Bombaci;Federico Casale;Giuseppe Fuda;Paolina Salamone;Barbara Iazzolino;Laura Peotta;Paolo Cugnasco;Giovanni De Marco;Maria Claudia Torrieri;Francesca Palumbo;Salvatore Gallone;Marco Barberis;Luca Sbaiz;Salvatore Gentile;Alessandro Mauro;Letizia Mazzini;Fabiola De Marchi;Lucia Corrado;Sandra D’Alfonso;Antonio Bertolotto;Maurizio Gionco;Daniela Leotta;Enrico Odddenino;Daniele Imperiale;Roberto Cavallo;Pietro Pignatta;Marco De Mattei;Claudio Geda;Diego Maria Papurello;Graziano Gusmaroli;Cristoforo Comi;Carmelo Labate;Luigi Ruiz;Delfina Ferrandi;Eugenia Rota;Marco Aguggia;Nicoletta Di Vito;P. Meineri;Paolo Ghiglione;Nicola Launaro;Michele Dotta;Alessia Di Sapio;Guido Giardini;Cinzia Tiloca;Silvia Peverelli;Franco Taroni;Viviana Pensato;Barbara Castellotti;Giacomo P. Comi;Roberto Del Bo;Mauro Ceroni;Stella Gagliardi;Lucia Corrado;Letizia Mazzini;Flavia Raggi;Costanza Simoncini;Annalisa Lo Gerfo;Maurizio Inghilleri;Alessandra Ferlini;Michael A van Es;Bruno Passarella;Vito Guerra;Stefano Zoccolella;Cecilia Nozzoli;Ciro Mundi;Maurizio Leone;Michele Zarrelli;Filippo Tamma;Francesco Valluzzi;Gianluigi Calabrese;Giovanni Boero;Augusto Rini;Bryan J. Traynor;Andrew B. Singleton;Miguel Mitne Neto;Ruben J. Cauchi;Roel A. Ophoff;Martina Wiedau‐Pazos;Catherine Lomen-Hoerth;Vivianna M. Van Deerlin;Julian Großkreutz;Annekathrin Roediger;Nayana Gaur;Alexander Jörk;Tabea Barthel;Erik Theele;Benjamin Ilse;Beatrice Stubendorff;Otto W. Witte;Robert Steinbach;Christian A. Hübner;Caroline Graff;Lev Brylev;Vera Fominykh;Vera Demeshonok;Anastasia Ataulina;Boris Rogelj;Blaž Koritnik;Janez Zidar;Metka Ravnik-Glavač;Damjan Glavač;Zorica Stević;Vivian Drory;Mónica Povedano;Ian P. Blair;Matthew C. Kiernan;Beben Benyamin;Robert D. Henderson;Sarah Furlong;Susan Mathers;Pamela McCombe;Merrilee Needham;Shyuan T. Ngo;Garth A. Nicholson;Roger Pamphlett;Dominic B. Rowe;Frederik J. Steyn;Kelly L. Williams;Karen A. Mather;Perminder S. Sachdev;Anjali K. Henders;Leanne Wallace;Mamede de Carvalho;Susana Pinto;Susanne Petri;Markus Weber;Guy A. Rouleau;Vincenzo Silani;Charles Curtis;Gerome Breen;Jonathan D. Glass;Robert H. Brown;John E. Landers;Christopher E. Shaw;Peter M. Andersen;Ewout J. N. Groen;Michael A. van Es;R. Jeroen Pasterkamp;Dongsheng Fan;Fleur C. Garton;Allan F. McRae;George Davey Smith;Tom R. Gaunt;Michael A. Eberle;Jonathan Mill;Russell L. McLaughlin;Orla Hardiman;Kevin P. Kenna;Naomi R. Wray;Ellen Tsai;Heiko Runz;Lude Franke;Ammar Al‐Chalabi;Philip Van Damme;Leonard H. van den Berg;Jan H. Veldink,2021,Christina Vasilopoulou;Benjamin Wingfield;Andrew P. Morris;William Duddy
10.1038/s41588-023-01561-1,phs000235,acc_nr,f1db262d-5aa3-4928-ae5a-2fba94ec56d5,9/26/2023,9/26/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),public library of science (plos),plos one,,10.1371/journal.pone.0073956,9/4/2013,czi,biological sciences; basic medicine,,,,,2023,Rebecca J. Leeman‐Neill;Song Dong;Jonathan Bizarro;Ludivine Wacheul;Gerson Rothschild;Sameer Singh;Yang Yang;Aditya Sarode;Kishore Gollapalli;Lijing Wu;Wanwei Zhang;Yiyun Chen;Max C. Lauring;D. Eric Whisenant;Shweta Bhavsar;Junghyun Lim;Steven H. Swerdlow;Govind Bhagat;Qian Zhao;Luke E. Berchowitz;Denis L. J. Lafontaine;Jiguang Wang;Uttiya Basu,2013,Christopher DeBoever;Erin Reid;Erin N. Smith;Xiaoyun Wang;Wilmar Dumaop;Olivier Harismendy;Dennis A. Carson;Douglas D. Richman;Eliezer Masliah;Kelly A. Frazer
10.1038/s41467-020-18367-y,phs000930,acc_nr,44d7a1e8-abdb-47ec-ae69-772b2566fb78,9/27/2023,9/27/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),frontiers media sa,frontiers in genetics,,10.3389/fgene.2022.954713,12/5/2022,czi,biological sciences; basic medicine,,,,,2020,Edith Hofer;Gennady V. Roshchupkin;Hieab H.H. Adams;Maria J. Knol;Honghuang Lin;Shuo Li;Habil Zare;Shahzad Ahmad;Nicola J. Armstrong;Claudia L. Satizábal;Manon Bernard;Joshua C. Bis;Nathan A. Gillespie;Michelle Luciano;Aniket Mishra;Markus Scholz;Alexander Teumer;Rui Xia;Xueqiu Jian;Thomas H. Mosley;Yasaman Saba;Lukas Pirpamer;Stephan Seiler;James T. Becker;Owen Carmichael;Jerome I. Rotter;Bruce M. Psaty;Oscar L. Lopez;Najaf Amin;Sven J. van der Lee;Qiong Yang;Jayandra J. Himali;Pauline Maillard;Alexa S. Beiser;Charles DeCarli;Sherif Karama;Lindsay B. Lewis;Mathew A. Harris;Mark E. Bastin;Ian J. Deary;A. Veronica Witte;Frauke Beyer;Markus Loeffler;Karen A. Mather;Peter R. Schofield;Anbupalam Thalamuthu;John B. Kwok;Margaret J. Wright;David Ames;Julian N. Trollor;Jiyang Jiang;Henry Brodaty;Wei Wen;Meike W. Vernooij;Albert Hofman;André G. Uitterlinden;Wiro J. Niessen;Katharina Wittfeld;Robin Bülow;Uwe Völker;Zdenka Pausová;G. Bruce Pike;Sophie Maingault;Fabrice Crivello;Christophe Tzourio;Philippe Amouyel;Bernard Mazoyer;Michael C. Neale;Carol E. Franz;Michael J. Lyons;Matthew S. Panizzon;Ole A. Andreassen;Anders M. Dale;Mark W. Logue;Katrina L. Grasby;Neda Jahanshad;Jodie N. Painter;Lucía Colodro‐Conde;Janita Bralten;Derrek P. Hibar;Penelope A. Lind;Fabrizio Pizzagalli;Jason L. Stein;Paul M. Thompson;Sarah E. Medland;Katrina L. Grasby;Neda Jahanshad;Jodie N. Painter;Lucía Colodro‐Conde;Janita Bralten;Derrek P. Hibar;Penelope A. Lind;Fabrizio Pizzagalli;Christopher R. K. Ching;Mary McMahon;Natalia Shatokhina;Leo Zsembik;Ingrid Agartz;Saud Alhusaini;Marcio A. A. Almeida;Dag Alnæs;Inge K. Amlien;Micael Andersson;Tyler Ard;Nicola J. Armstrong;Allison E. Ashley‐Koch;Manon Bernard;Rachel M. Brouwer;Elizabeth E.L. Buimer;Robin Bülow;Christian Bürger;Dara M. Cannon;M. Mallar Chakravarty;Qiang Chen;Joshua W. Cheung;Baptiste Couvy‐Duchesne;Anders M. Dale;Shareefa Dalvie;Tânia Kawasaki de Araujo;Greig I. de Zubicaray;Sonja M. C. de Zwarte;Anouk den Braber;Nhat Trung Doan;Katharina Dohm;Stefan Ehrlich;Hannah-Ruth Engelbrecht;Susanne Erk;Chun Fan;Iryna O. Fedko;Sonya Foley;Judith M. Ford;Masaki Fukunaga;Melanie E. Garrett﻿;Tian Ge;Sudheer Giddaluru;Aaron L. Goldman;Nynke A. Groenewold;Dominik Grotegerd;Tiril P. Gurholt;Boris A. Gutman;Narelle K. Hansell;Mathew A. Harris;Marc Harrison;Courtney C. Haswell;Michael A. Hauser;Stefan Herms;Dirk J. Heslenfeld;New Fei Ho;David Hoehn;Per Hoffmann;Laurena Holleran;Martine Hoogman;Jouke‐Jan Hottenga;Masashi Ikeda;Deborah Janowitz;Iris E. Jansen;Tianye Jia;Christiane Jockwitz;Ryota Kanai;Sherif Karama;Dalia Kasperavičiūtė;Tobias Kaufmann;Sinéad Kelly;Masataka Kikuchi;Marieke Klein;Michael Knapp;Annchen R. Knodt;Bernd Krämer;Max Lam;T. Lancaster;Phil Hyu Lee;Tristram A. Lett;Lindsay B. Lewis;Íscia Lopes‐Cendes;Michelle Luciano;Fabìo Macciardi;André F. Marquand;Samuel R. Mathias;Tracy R. Melzer;Yuri Milaneschi;Nazanin Mirza‐Schreiber;José Carlos Vasques Moreira;Thomas W. Mühleisen;Bertram Müller-Myhsok;Pablo Najt;Soichiro Nakahara;Kwangsik Nho;Loes M. Olde Loohuis;Dimitri Papadopoulos Orfanos;John F. Pearson;Toni L. Pitcher;Benno Pütz;Anjanibhargavi Ragothaman;Faisal Rashid;Ronny Redlich;Céline S. Reinbold;Jonathan Repple;Geneviève Richard;Brandalyn C. Riedel;Shannon L. Risacher;Cristiane S. Rocha;Nina Roth Mota;Lauren E. Salminen;Arvin Saremi;Andrew J. Saykin;Fenja Schlag;Lianne Schmaal;Peter R. Schofield;Rodrigo Secolin;Chin Yang Shapland;Li Shen;Jean Shin;Alena Shumskaya;Ida E. Sønderby;Emma Sprooten;Lachlan T. Strike;Katherine E. Tansey;Alexander Teumer;Anbupalam Thalamuthu;Sophia I. Thomopoulos;Diana Tordesillas‐Gutiérrez;Jessica A. Turner;Anne Uhlmann;Costanza L. Vallerga;Dennis van der Meer;Marjolein M. J. van Donkelaar;Liza van Eijk;Theo G.M. van Erp;Neeltje E.M. van Haren;Daan van Rooij;Marie‐José van Tol;Jan H. Veldink;Ellen Verhoef;Esther Walton;Mingyuan Wang;Yunpeng Wang;Joanna M. Wardlaw;Wei Wen;Lars T. Westlye;Christopher D. Whelan;Stephanie H. Witt;Katharina Wittfeld;Christiane Wolf;Thomas Wolfers;Clarissa Lin Yasuda;Dario Zaremba;Zuo Zhang;Alyssa H. Zhu;Marcel P. Zwiers;Éric Artiges;Amelia A. Assareh;Rosa Ayesa‐Arriola;Ayşenil Belger;Christine L. Brandt;Gregory G. Brown;Sven Cichon;Joanne E. Curran;Gareth E. Davies;Franziska Degenhardt;Bruno Dietsche;Srdjan Djurovic;Colin P. Doherty;Ryan Espiritu;Daniel Garijo;Yolanda Gil;Penny Gowland;Robert C. Green;Alexander N. Häusler;Walter Heindel;Beng‐Choon Ho;Wolfgang Hoffmann;Florian Holsboer;Georg Homuth;Norbert Hosten;Clifford R. Jack;MiHyun Jang;Andreas Jansen;Knut Kolskår;Sanne Koops;Axel Krug;Kelvin O. Lim;Jurjen J. Luykx;Daniel H. Mathalon;Karen A. Mather;Venkata S. Mattay;Sarah Matthews;Jaqueline Mayoral Van Son;Sarah McEwen;Ingrid Melle;Derek W. Morris;Bryon A. Mueller;Matthias Nauck;Jan Egil Nordvik;Markus M. Nöthen;Daniel S. O’Leary;Nils Opel;Marie‐Laure Paillère Martinot;G. Bruce Pike;Adrian Preda;Erin Burke Quinlan;Varun Ratnakar;Simone Reppermund;Vidar M. Steen;Fábio R. Torres;Dick J. Veltman;James T. Voyvodic;Robert Whelan;Tonya White;Hidenaga Yamamori;Marina K. M. Alvim;David Ames;Tim Anderson;Ole A. Andreassen;Alejandro Arias Väsquez;Mark E. Bastin;Bernhard T. Baune;John Blangero;Dorret I. Boomsma;Henry Brodaty;Han G. Brunner;Randy L. Buckner;Jan K. Buitelaar;Juan Bustillo;Wiepke Cahn;Vince D. Calhoun;Xavier Caseras;Svenja Caspers;Gianpiero L. Cavalleri;Fernando Cendes;Aiden Corvin;Benedicto Crespo‐Facorro;John C. Dalrymple‐Alford;Udo Dannlowski;Eco J. C. de Geus;Ian J. Deary;Norman Delanty;Chantal Depondt;Sylvane Desrivières;Gary Donohoe;Thomas Espeseth;Guillén Fernández;Simon E. Fisher;Herta Flor;Andreas J. Forstner;Clyde Francks;Barbara Franke;David C. Glahn;Randy L. Gollub;Hans J. Grabe;Oliver Gruber;Asta K. Håberg;Ahmad R. Hariri;Catharina A. Hartman;Ryota Hashimoto;Andreas Heinz;Manon H. J. Hillegers;Pieter J. Hoekstra;Avram J. Holmes;L. Elliot Hong;William D. Hopkins;Hilleke E. Hulshoff Pol;Terry L. Jernigan;Erik G. Jönsson;René S. Kahn;Martin A. Kennedy;Tilo Kircher;Peter Kochunov;John B. Kwok;Stéphanie Le Hellard;Nicholas G. Martin;Jean Luc Martinot;Colm McDonald;Katie L. McMahon;Andreas Meyer‐Lindenberg;Rajendra A. Morey;Lars Nyberg;Jaap Oosterlaan;Roel A. Ophoff;Tomáš Paus;Zdenka Pausová;Brenda W.J.H. Penninx;Tinca J. C. Polderman;Daniëlle Posthuma;Marcella Rietschel;Joshua L. Roffman;Laura M. Rowland;Perminder S. Sachdev;Philipp G. Sämann;Gunter Schumann;Kang Sim;Sanjay M. Sisodiya;Jordan W. Smoller;Iris E. Sommer;Beaté St Pourcain;Dan J. Stein;Arthur W. Toga;Julian N. Trollor;Nic J.A. van der Wee;Dennis van ’t Ent;Henry Völzke;Henrik Walter;Bernd Weber;Daniel R. Weinberger;Margaret J. Wright;Juan Zhou;Jason L. Stein;Paul M. Thompson;Sarah E. Medland;Perminder S. Sachdev;William S. Kremen;Joanna M. Wardlaw;Arno Villringer;Cornelia M. van Duijn;Hans J. Grabe;W.T. Longstreth;Myriam Fornage;Tomáš Paus;Stéphanie Debette;M. Arfan Ikram;Helena Schmidt;Reinhold Schmidt;Sudha Seshadri,2022,Timothy D. Majarian;Amy R. Bentley;Vincent Laville;Michael R. Brown;Daniel I. Chasman;Paul S. de Vries;Mary F. Feitosa;Nora Franceschini;W. James Gauderman;Casey Marchek;Daniel Levy;Alanna C. Morrison;Michael A. Province;D. C. Rao;Karen Schwander;Yan V. Sun;Charles N. Rotimi;Hugues Aschard;C. Charles Gu;Alisa K. Manning
10.1038/s41591-023-02397-2,phs000974,acc_nr,03921d0f-4ff0-4a9c-83b9-4208069e9985,9/27/2023,11/4/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),public library of science (plos),plos genetics,,10.1371/journal.pgen.1006811,6/22/2017,czi,basic medicine; biological sciences,,,,,2023,Hind Bouzid;Julia A. Belk;Max Jan;Yanyan Qi;Chloé Sarnowski;Sara Wirth;Lisa Ma;Matthew R. Chrostek;Herra Ahmad;Daniel Nachun;Winnie Yao;Joshua C. Bis;Bruce M. Psaty;Alexa S. Beiser;Alexander G. Bick;Joshua C. Bis;Myriam Fornage;W.T. Longstreth;Oscar L. López;Pradeep Natarajan;Bruce M. Psaty;Claudia L. Satizábal;Joshua S. Weinstock;Eric B. Larson;Paul K. Crane;C. Dirk Keene;Sudha Seshadri;Ansuman T. Satpathy;Thomas J. Montine;Siddhartha Jaiswal,2017,Sara R. Rashkin;Goo Jun;Sai Chen;Gonçalo R. Abecasis
10.1038/s41467-023-39253-3,phs001672,acc_nr,bce58264-abeb-4a4d-b0b1-645da5f33b39,9/28/2023,9/28/2023,ncbi dbgap (database of genotypes and phenotypesgenotypes and phenotypes),springer science and business media llc,scientific reports,,10.1038/s41598-023-30369-6,3/2/2023,czi,basic medicine; biological sciences,,,,,2023,Danielle Rasooly;Gina M. Peloso;Alexandre C. Pereira;Hesam Dashti;Claudia Giambartolomei;Eleanor Wheeler;Nay Aung;Brian R. Ferolito;Maik Pietzner;Eric Farber‐Eger;Quinn S. Wells;Nicole Kosik;Liam Gaziano;Daniel Posner;A. Patrícia Bento;Qin Hui;Chang Liu;Krishna G. Aragam;Zeyuan Wang;Brian Charest;Jennifer E. Huffman;Peter W.F. Wilson;Lawrence S. Phillips;John C. Whittaker;Patricia B. Munroe;Steffen E. Petersen;Kelly Cho;Andrew R. Leach;María Paula Magariños;John Michael Gaziano;Claudia Langenberg;Yan V. Sun;Jacob Joseph;Juan P. Casas,2023,Daiane Hemerich;Roelof A.J. Smit;Michael Preuß;Lauren Stalbow;Sander W. van der Laan;Folkert W. Asselbergs;Jessica van Setten;Vinicius Tragante
