"doi_added","more_ids"
"10.1038/s41467-023-38044-0","gse50161"
"10.1038/s41467-023-38044-0","gse50385"
"10.1038/s41467-023-38044-0","gse3526"
"10.1038/s41467-023-39253-3","gcst006900"
"10.1038/s41467-023-39253-3","gcst006414"
"10.1038/s41467-023-39253-3","gcst006624"
"10.1038/s41587-022-01551-4","erp123231"
"10.1038/s41588-023-01422-x","phs000356"
"10.1038/s41588-023-01422-x","phs001584"
