"unique_id","doi","doi_no_ver_info","data_id","data_id_auto_cleaned","data_id_no_ex_chr","data_id_m_val","data_id_merged","data_id_secondary","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","in_dcc","data_availability_statement","charite_id_year","license"
231,"10.2807/1560-7917.es.2023.28.48.2300258","10.2807/1560-7917.es.2023.28.48.2300258","https://www.ncbi.nlm.nih.gov/nuccore/mz964752","mz964752","mz964752","","mz964752",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
232,"10.2807/1560-7917.es.2023.28.48.2300258","10.2807/1560-7917.es.2023.28.48.2300258","https://www.ncbi.nlm.nih.gov/nuccore/mz964753","mz964753","mz964753","","mz964753",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
1316,"10.1186/s13063-021-05664-0","10.1186/s13063-021-05664-0","https://clinicaltrials.gov/ct2/show/nct04805125","nct04805125","nct04805125","","nct04805125",NA,"restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,"NULL"
1287,"10.1111/cge.13977","10.1111/cge.13977","https://www.ncbi.nlm.nih.gov/nuccore/nm_013275.6?report=fasta&to=9301","nm_013275","nm_013275","","nm_013275",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr","FALSE","TRUE","FALSE","ncbi reference sequence database","TRUE",NA,2024,"no license"
1528,"10.1038/s41431-021-00846-5","10.1038/s41431-021-00846-5","https://www.ncbi.nlm.nih.gov/nuccore/nm_020971.3?report=graph&mk=3375|nm_020971.3:c.3375_3393del|green","nm_020971","nm_020971","","nm_020971",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,"no license"
1441,"10.3390/ijms22052732","10.3390/ijms22052732","https://www.ncbi.nlm.nih.gov/protein/np_849148.2/","np_849148","np_849148","","np_849148",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE",NA,NA,"no license"
1102,"10.1186/s12985-022-01854-7","10.1186/s12985-022-01854-7","https://www.ncbi.nlm.nih.gov/nuccore/ol311042","ol311042","ol311042","","ol311042",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes_statement_no_data",NA,"no license"
321,"10.1111/liv.15517","10.1111/liv.15517","https://www.ncbi.nlm.nih.gov/nuccore/ol469119","ol469119","ol469119","","ol469119",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","no_statement_no_data",NA,"no license"
1242,"10.1111/tbed.14621","10.1111/tbed.14621","https://www.ncbi.nlm.nih.gov/nuccore/ol504991","ol504991","ol504991","","ol504991",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes_statement_no_data",NA,"no license"
812,"10.1016/j.chom.2021.12.010","10.1016/j.chom.2021.12.010","https://www.ncbi.nlm.nih.gov/nuccore/ol741060","ol741060","ol741060","","ol741060",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
742,"10.3389/fevo.2022.791762","10.3389/fevo.2022.791762","https://www.ncbi.nlm.nih.gov/nuccore/ol880471","ol880471","ol880471","","ol880471",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes_statement_no_data",NA,"no license"
371,"10.1038/s41586-023-06003-w","10.1038/s41586-023-06003-w","https://www.ncbi.nlm.nih.gov/nuccore/op174926","op174926","op174926","","op174926",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
669,"10.3390/v14112368","10.3390/v14112368","https://www.ncbi.nlm.nih.gov/nuccore/op313834","op313834","op313834","","op313834",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
515,"10.1002/eji.202250315","10.1002/eji.202250315","https://www.ncbi.nlm.nih.gov/nuccore/op426435","op426435","op426435","","op426435",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes_statement_no_data",NA,"no license"
657,"10.1186/s13071-022-05615-x","10.1186/s13071-022-05615-x","https://www.ncbi.nlm.nih.gov/nuccore/op450944","op450944","op450944","","op450944",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
86,"10.1159/000531128","10.1159/000531128","https://www.ncbi.nlm.nih.gov/nuccore/op797408","op797408","op797408","","op797408",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
233,"10.2807/1560-7917.es.2023.28.48.2300258","10.2807/1560-7917.es.2023.28.48.2300258","https://www.ncbi.nlm.nih.gov/nuccore/op810565","op810565","op810565","","op810565",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
39,"10.1016/j.onehlt.2023.100528","10.1016/j.onehlt.2023.100528","https://www.ncbi.nlm.nih.gov/nuccore/op909735.1/","op909735","op909735","","op909735",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
