"doi_charite","doi_lc","doi_no_ver_info","data_identifier","data_identifier_2nd_numbat_entry","data_id_lc","data_id_auto_cleaned","slug_charite","data_id_m_val","dataset_for_matching","data_id_secondary","detected_id","data_access","in_dashboard","source_charite","numbat_id_of_da_id","numbat_id_of_da_id_lc","listed_in_numbat_output","validated","Category","is_gen_rep","doi_id_orig_pair","doi_id_lc_pair_for_joining","doi_id_clean_pair","detected_in_numbat_originally_only_for_added","in_dcc","data_availability_statement","human_data","covid_related","charite_id_year","license","doi_id_lc_for_matching","is_detected_id_doi","das_for_analysis"
"10.1038/s41597-020-0495-6","10.1038/s41597-020-0495-6","10.1038/s41597-020-0495-6","https://doi.org/10.13026/x4td-x982",NA,"https://doi.org/10.13026/x4td-x982","10.13026/x4td-x982",NA,NA,"10.13026/x4td-x982",NA,"10.13026/x4td-x982","yes",TRUE,"data_articles","https://physionet.org/content/ptb-xl/1.0.1/","https://physionet.org/content/ptb-xl/1.0.1/",TRUE,"TRUE","doi","FALSE","10.1038/s41597-020-0495-6;https://doi.org/10.13026/x4td-x982","10.1038/s41597-020-0495-6;https://doi.org/10.13026/x4td-x982","10.1038/s41597-020-0495-6;10.13026/x4td-x982",NA,"TRUE",NA,"TRUE","FALSE","2020","CC-BY","10.1038/s41597-020-0495-6;10.13026/x4td-x982","TRUE",NA
"10.1158/0008-5472.CAN-21-1621","10.1158/0008-5472.can-21-1621","10.1158/0008-5472.can-21-1621","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse90805","gse90805",NA,NA,"gse90805",NA,"gse90805","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/0008-5472.CAN-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90805","10.1158/0008-5472.CAN-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse90805","10.1158/0008-5472.can-21-1621;gse90805",NA,"TRUE","TRUE","TRUE","FALSE","2017","FALSE","10.1158/0008-5472.can-21-1621;gse90805","FALSE","TRUE"
"10.1158/1055-9965.EPI-20-0714","10.1158/1055-9965.epi-20-0714","10.1158/1055-9965.epi-20-0714","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","phs001078.v1.p1",NA,"phs001078","phs001078",NA,"phs001078","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/1055-9965.EPI-20-0714;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","10.1158/1055-9965.EPI-20-0714;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001078.v1.p1","10.1158/1055-9965.epi-20-0714;phs001078",NA,"TRUE","TRUE","TRUE","FALSE","2018","data use agreement","10.1158/1055-9965.epi-20-0714;phs001078","FALSE","TRUE"
"10.7554/eLife.51243","10.7554/elife.51243","10.7554/elife.51243","https://www.ebi.ac.uk/ena/data/view/PRJEB2600",NA,"https://www.ebi.ac.uk/ena/data/view/prjeb2600","prjeb2600",NA,NA,"prjeb2600","erp000767","prjeb2600","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.7554/eLife.51243;https://www.ebi.ac.uk/ena/data/view/PRJEB2600","10.7554/eLife.51243;https://www.ebi.ac.uk/ena/data/view/prjeb2600","10.7554/elife.51243;prjeb2600",NA,"TRUE","TRUE","FALSE","FALSE","2012","FALSE","10.7554/elife.51243;prjeb2600","FALSE","TRUE"
"10.1158/2643-3230.BCD-19-0059","10.1158/2643-3230.bcd-19-0059","10.1158/2643-3230.bcd-19-0059","https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265",NA,"https://trace.ncbi.nlm.nih.gov/traces/sra/?run=srr12801265","srr12801265",NA,NA,"srr12801265","prjna668334 ","srr12801265","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/2643-3230.BCD-19-0059;https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12801265","10.1158/2643-3230.BCD-19-0059;https://trace.ncbi.nlm.nih.gov/traces/sra/?run=srr12801265","10.1158/2643-3230.bcd-19-0059;srr12801265",NA,"TRUE","FALSE","FALSE","FALSE","2020","FALSE","10.1158/2643-3230.bcd-19-0059;srr12801265","FALSE","FALSE"
"10.1038/s41564-023-01352-8","10.1038/s41564-023-01352-8","10.1038/s41564-023-01352-8","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200596",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse200596","gse200596",NA,"","gse200596",NA,"gse200596","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41564-023-01352-8;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200596","10.1038/s41564-023-01352-8;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse200596","10.1038/s41564-023-01352-8;gse200596",NA,"TRUE","TRUE","FALSE","TRUE","2022","FALSE","10.1038/s41564-023-01352-8;gse200596","FALSE","TRUE"
"10.1182/bloodadvances.2022007714","10.1182/bloodadvances.2022007714","10.1182/bloodadvances.2022007714","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122467",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse122467","gse122467",NA,"","gse122467",NA,"gse122467","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1182/bloodadvances.2022007714;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122467","10.1182/bloodadvances.2022007714;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse122467","10.1182/bloodadvances.2022007714;gse122467",NA,"TRUE","no_statement_no_data","FALSE","FALSE","2019","FALSE","10.1182/bloodadvances.2022007714;gse122467","FALSE","no_statement_no_data"
"10.1172/jci158348","10.1172/jci158348","10.1172/jci158348","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-TABM-713?query=E-TABM-713",NA,"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-tabm-713?query=e-tabm-713","e-tabm-713",NA,"","e-tabm-713",NA,"e-tabm-713","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1172/jci158348;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-TABM-713?query=E-TABM-713","10.1172/jci158348;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-tabm-713?query=e-tabm-713","10.1172/jci158348;e-tabm-713",NA,"TRUE","TRUE","TRUE","FALSE","2009","FALSE","10.1172/jci158348;e-tabm-713","FALSE","TRUE"
"10.1093/jnci/djad001","10.1093/jnci/djad001","10.1093/jnci/djad001","https://ega-archive.org/datasets/EGAD00001003139",NA,"https://ega-archive.org/datasets/egad00001003139","egad00001003139",NA,"","egad00001003139",NA,"egad00001003139","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1093/jnci/djad001;https://ega-archive.org/datasets/EGAD00001003139","10.1093/jnci/djad001;https://ega-archive.org/datasets/egad00001003139","10.1093/jnci/djad001;egad00001003139",NA,"TRUE","TRUE","TRUE","FALSE","2017","FALSE","10.1093/jnci/djad001;egad00001003139","FALSE","TRUE"
"10.1073/pnas.2206324120","10.1073/pnas.2206324120","10.1073/pnas.2206324120","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-862",NA,"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-862","e-mtab-862",NA,"","e-mtab-862",NA,"e-mtab-862","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1073/pnas.2206324120;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-862","10.1073/pnas.2206324120;https://www.ebi.ac.uk/biostudies/arrayexpress/studies/e-mtab-862","10.1073/pnas.2206324120;e-mtab-862",NA,"TRUE","TRUE","TRUE","FALSE","2012","FALSE","10.1073/pnas.2206324120;e-mtab-862","FALSE","TRUE"
"10.1038/s41467-023-41502-4","10.1038/s41467-023-41502-4","10.1038/s41467-023-41502-4","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143796",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse143796","gse143796",NA,"","gse143796",NA,"gse143796","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-41502-4;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143796","10.1038/s41467-023-41502-4;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse143796","10.1038/s41467-023-41502-4;gse143796",NA,"TRUE","TRUE","FALSE","FALSE","2020","FALSE","10.1038/s41467-023-41502-4;gse143796","FALSE","TRUE"
"10.1002/hep.32776","10.1002/hep.32776","10.1002/hep.32776","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132662",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse132662","gse132662",NA,"","gse132662",NA,"gse132662","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1002/hep.32776;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132662","10.1002/hep.32776;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse132662","10.1002/hep.32776;gse132662",NA,"TRUE","TRUE","FALSE","FALSE","2019","FALSE","10.1002/hep.32776;gse132662","FALSE","TRUE"
"10.1038/s41467-023-38044-0","10.1038/s41467-023-38044-0","10.1038/s41467-023-38044-0","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64415",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse64415","gse64415",NA,"","gse64415",NA,"gse64415","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-38044-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64415","10.1038/s41467-023-38044-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse64415","10.1038/s41467-023-38044-0;gse64415",NA,"TRUE","TRUE","TRUE","FALSE","2015","FALSE","10.1038/s41467-023-38044-0;gse64415","FALSE","TRUE"
"10.1038/s41467-023-38044-0","10.1038/s41467-023-38044-0","10.1038/s41467-023-38044-0","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21687",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse21687","gse21687",NA,"","gse21687",NA,"gse21687","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-38044-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21687","10.1038/s41467-023-38044-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse21687","10.1038/s41467-023-38044-0;gse21687",NA,"TRUE","TRUE","TRUE","FALSE","2010","FALSE","10.1038/s41467-023-38044-0;gse21687","FALSE","TRUE"
"10.1038/s41588-023-01422-x","10.1038/s41588-023-01422-x","10.1038/s41588-023-01422-x","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000431.v3.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000431.v3.p1","phs000431.v3.p1",NA,"phs000431","phs000431",NA,"phs000431","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41588-023-01422-x;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000431.v3.p1","10.1038/s41588-023-01422-x;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000431.v3.p1","10.1038/s41588-023-01422-x;phs000431",NA,"TRUE","TRUE","TRUE","FALSE","2015","data use agreement","10.1038/s41588-023-01422-x;phs000431","FALSE","TRUE"
"10.1038/s41467-023-39253-3","10.1038/s41467-023-39253-3","10.1038/s41467-023-39253-3","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001672.v12.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001672.v12.p1","phs001672.v12.p1",NA,"phs001672","phs001672",NA,"phs001672","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-39253-3;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001672.v12.p1","10.1038/s41467-023-39253-3;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001672.v12.p1","10.1038/s41467-023-39253-3;phs001672",NA,"TRUE","TRUE","TRUE","FALSE","1987","FALSE","10.1038/s41467-023-39253-3;phs001672","FALSE","TRUE"
"10.1038/s41467-023-39253-3","10.1038/s41467-023-39253-3","10.1038/s41467-023-39253-3","https://www.ebi.ac.uk/gwas/studies/GCST009541",NA,"https://www.ebi.ac.uk/gwas/studies/gcst009541","gcst009541",NA,"","gcst009541",NA,"gcst009541","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-39253-3;https://www.ebi.ac.uk/gwas/studies/GCST009541","10.1038/s41467-023-39253-3;https://www.ebi.ac.uk/gwas/studies/gcst009541","10.1038/s41467-023-39253-3;gcst009541",NA,"TRUE","TRUE","TRUE","FALSE","2020","FALSE","10.1038/s41467-023-39253-3;gcst009541","FALSE","TRUE"
"10.1038/s41591-023-02397-2","10.1038/s41591-023-02397-2","10.1038/s41591-023-02397-2","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974.v6.p5",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974.v6.p5","phs000974.v6.p5",NA,"phs000974","phs000974",NA,"phs000974","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41591-023-02397-2;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974.v6.p5","10.1038/s41591-023-02397-2;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974.v6.p5","10.1038/s41591-023-02397-2;phs000974",NA,"TRUE","TRUE","TRUE","FALSE","2016","data use agreement","10.1038/s41591-023-02397-2;phs000974","FALSE","TRUE"
"10.1002/eji.202250162","10.1002/eji.202250162","10.1002/eji.202250162","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160097",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse160097","gse160097",NA,"","gse160097",NA,"gse160097","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1002/eji.202250162;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160097","10.1002/eji.202250162;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse160097","10.1002/eji.202250162;gse160097",NA,"TRUE","yes_statement_no_data","TRUE","FALSE","2020","FALSE","10.1002/eji.202250162;gse160097","FALSE","TRUE"
"10.1038/s41598-023-27792-0","10.1038/s41598-023-27792-0","10.1038/s41598-023-27792-0","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78132",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse78132","gse78132",NA,"","gse78132",NA,"gse78132","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41598-023-27792-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78132","10.1038/s41598-023-27792-0;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse78132","10.1038/s41598-023-27792-0;gse78132",NA,"TRUE","TRUE","TRUE","FALSE","2016","FALSE","10.1038/s41598-023-27792-0;gse78132","FALSE","TRUE"
"10.1016/j.neo.2023.100934","10.1016/j.neo.2023.100934","10.1016/j.neo.2023.100934","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14764",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse14764","gse14764",NA,"","gse14764",NA,"gse14764","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.neo.2023.100934;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14764","10.1016/j.neo.2023.100934;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse14764","10.1016/j.neo.2023.100934;gse14764",NA,"TRUE","no_statement_no_data","TRUE","FALSE","2009","FALSE","10.1016/j.neo.2023.100934;gse14764","FALSE","no_statement_no_data"
"10.1038/s41467-023-40584-4","10.1038/s41467-023-40584-4","10.1038/s41467-023-40584-4","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19784",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse19784","gse19784",NA,"","gse19784",NA,"gse19784","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-023-40584-4;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19784","10.1038/s41467-023-40584-4;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse19784","10.1038/s41467-023-40584-4;gse19784",NA,"TRUE","TRUE","TRUE","FALSE","2010","FALSE","10.1038/s41467-023-40584-4;gse19784","FALSE","TRUE"
"10.1097/hep.0000000000000238","10.1097/hep.0000000000000238","10.1097/hep.0000000000000238","https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA540738",NA,"https://www.ncbi.nlm.nih.gov/bioproject/?term=prjna540738","prjna540738",NA,"","prjna540738","srp194438","prjna540738","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1097/hep.0000000000000238;https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA540738","10.1097/hep.0000000000000238;https://www.ncbi.nlm.nih.gov/bioproject/?term=prjna540738","10.1097/hep.0000000000000238;prjna540738",NA,"TRUE","yes_statement_no_data","FALSE","FALSE","2020","FALSE","10.1097/hep.0000000000000238;prjna540738","FALSE","TRUE"
"10.1038/s41375-022-01751-6","10.1038/s41375-022-01751-6","10.1038/s41375-022-01751-6","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146173",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse146173","gse146173",NA,"","gse146173",NA,"gse146173","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41375-022-01751-6;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146173","10.1038/s41375-022-01751-6;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse146173","10.1038/s41375-022-01751-6;gse146173",NA,"TRUE","TRUE","TRUE","FALSE","2020","FALSE","10.1038/s41375-022-01751-6;gse146173","FALSE","TRUE"
"10.1038/s41467-021-27088-9","10.1038/s41467-021-27088-9","10.1038/s41467-021-27088-9","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93326",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse93326","gse93326",NA,"","gse93326",NA,"gse93326","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-021-27088-9;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93326","10.1038/s41467-021-27088-9;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse93326","10.1038/s41467-021-27088-9;gse93326",NA,"TRUE","TRUE","TRUE","FALSE","2018","FALSE","10.1038/s41467-021-27088-9;gse93326","FALSE","TRUE"
"10.1038/s41467-022-31492-0","10.1038/s41467-022-31492-0","10.1038/s41467-022-31492-0","https://www.uniprot.org/proteomes/UP000005640",NA,"https://www.uniprot.org/proteomes/up000005640","up000005640",NA,"","up000005640",NA,"up000005640","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41467-022-31492-0;https://www.uniprot.org/proteomes/UP000005640","10.1038/s41467-022-31492-0;https://www.uniprot.org/proteomes/up000005640","10.1038/s41467-022-31492-0;up000005640",NA,"TRUE","TRUE","TRUE","FALSE","2022","FALSE","10.1038/s41467-022-31492-0;up000005640","FALSE","TRUE"
"10.3390/v14051041","10.3390/v14051041","10.3390/v14051041","https://www.ncbi.nlm.nih.gov/nuccore/on158817",NA,"https://www.ncbi.nlm.nih.gov/nuccore/on158817","on158817",NA,"","on158817",NA,"on158817","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.3390/v14051041;https://www.ncbi.nlm.nih.gov/nuccore/on158817","10.3390/v14051041;https://www.ncbi.nlm.nih.gov/nuccore/on158817","10.3390/v14051041;on158817",NA,"TRUE","TRUE","FALSE","FALSE","2022","FALSE","10.3390/v14051041;on158817","FALSE","TRUE"
"10.1038/s41591-022-01688-4","10.1038/s41591-022-01688-4","10.1038/s41591-022-01688-4","https://www.ebi.ac.uk/ena/browser/view/PRJEB37249",NA,"https://www.ebi.ac.uk/ena/browser/view/prjeb37249","prjeb37249",NA,"","prjeb37249","erp120556","prjeb37249","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41591-022-01688-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB37249","10.1038/s41591-022-01688-4;https://www.ebi.ac.uk/ena/browser/view/prjeb37249","10.1038/s41591-022-01688-4;prjeb37249",NA,"TRUE","TRUE","FALSE","FALSE","2020","FALSE","10.1038/s41591-022-01688-4;prjeb37249","FALSE","TRUE"
"10.1016/j.bpsgos.2021.07.008","10.1016/j.bpsgos.2021.07.008","10.1016/j.bpsgos.2021.07.008","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000670.v1.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000670.v1.p1","phs000670.v1.p1",NA,"phs000670","phs000670",NA,"phs000670","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.bpsgos.2021.07.008;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000670.v1.p1","10.1016/j.bpsgos.2021.07.008;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000670.v1.p1","10.1016/j.bpsgos.2021.07.008;phs000670",NA,"TRUE","no_statement_no_data","TRUE","FALSE","2014","data use agreement","10.1016/j.bpsgos.2021.07.008;phs000670","FALSE","no_statement_no_data"
"10.1158/0008-5472.can-21-1621","10.1158/0008-5472.can-21-1621","10.1158/0008-5472.can-21-1621","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28019",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse28019","gse28019",NA,"","gse28019",NA,"gse28019","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1158/0008-5472.can-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28019","10.1158/0008-5472.can-21-1621;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse28019","10.1158/0008-5472.can-21-1621;gse28019",NA,"TRUE","TRUE","TRUE","FALSE","2013","FALSE","10.1158/0008-5472.can-21-1621;gse28019","FALSE","TRUE"
"10.1016/j.jcv.2022.105222","10.1016/j.jcv.2022.105222","10.1016/j.jcv.2022.105222","https://www.ncbi.nlm.nih.gov/nuccore/MT270112",NA,"https://www.ncbi.nlm.nih.gov/nuccore/mt270112","mt270112",NA,"","mt270112",NA,"mt270112","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.jcv.2022.105222;https://www.ncbi.nlm.nih.gov/nuccore/MT270112","10.1016/j.jcv.2022.105222;https://www.ncbi.nlm.nih.gov/nuccore/mt270112","10.1016/j.jcv.2022.105222;mt270112",NA,"TRUE","no_statement_no_data","TRUE","TRUE","2020","FALSE","10.1016/j.jcv.2022.105222;mt270112","FALSE","no_statement_no_data"
"10.1038/s41593-022-01043-3","10.1038/s41593-022-01043-3","10.1038/s41593-022-01043-3","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000744.v4.p2",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000744.v4.p2","phs000744.v4.p2",NA,"phs000744","phs000744",NA,"phs000744","restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41593-022-01043-3;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000744.v4.p2","10.1038/s41593-022-01043-3;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000744.v4.p2","10.1038/s41593-022-01043-3;phs000744",NA,"TRUE","TRUE","TRUE","FALSE","2016","data use agreement","10.1038/s41593-022-01043-3;phs000744","FALSE","TRUE"
"10.1038/s41591-022-01686-6","10.1038/s41591-022-01686-6","10.1038/s41591-022-01686-6","https://www.ebi.ac.uk/ena/browser/view/PRJEB11532",NA,"https://www.ebi.ac.uk/ena/browser/view/prjeb11532","prjeb11532",NA,"","prjeb11532","erp012929","prjeb11532","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41591-022-01686-6;https://www.ebi.ac.uk/ena/browser/view/PRJEB11532","10.1038/s41591-022-01686-6;https://www.ebi.ac.uk/ena/browser/view/prjeb11532","10.1038/s41591-022-01686-6;prjeb11532",NA,"TRUE","TRUE","TRUE","FALSE","2015","FALSE","10.1038/s41591-022-01686-6;prjeb11532","FALSE","TRUE"
"10.1038/s41587-022-01551-4","10.1038/s41587-022-01551-4","10.1038/s41587-022-01551-4","https://www.ebi.ac.uk/ena/browser/view/PRJEB39750",NA,"https://www.ebi.ac.uk/ena/browser/view/prjeb39750","prjeb39750",NA,"","prjeb39750","erp123307","prjeb39750","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41587-022-01551-4;https://www.ebi.ac.uk/ena/browser/view/PRJEB39750","10.1038/s41587-022-01551-4;https://www.ebi.ac.uk/ena/browser/view/prjeb39750","10.1038/s41587-022-01551-4;prjeb39750",NA,"TRUE","TRUE","TRUE","FALSE","2020","FALSE","10.1038/s41587-022-01551-4;prjeb39750","FALSE","TRUE"
"10.1038/s41586-021-04342-0","10.1038/s41586-021-04342-0","10.1038/s41586-021-04342-0","https://www.ncbi.nlm.nih.gov/nuccore/MT108784.1/",NA,"https://www.ncbi.nlm.nih.gov/nuccore/mt108784.1/","mt108784",NA,"","mt108784",NA,"mt108784","yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1038/s41586-021-04342-0;https://www.ncbi.nlm.nih.gov/nuccore/MT108784.1/","10.1038/s41586-021-04342-0;https://www.ncbi.nlm.nih.gov/nuccore/mt108784.1/","10.1038/s41586-021-04342-0;mt108784",NA,"TRUE","TRUE","FALSE","TRUE","2020","FALSE","10.1038/s41586-021-04342-0;mt108784","FALSE","TRUE"
