"doi_charite","doi_lc","doi_no_ver_info","data_identifier","data_identifier_2nd_numbat_entry","data_id_lc","data_id_auto_cleaned","slug_charite","data_id_m_val","dataset_for_matching","data_id_secondary","detected_id","data_access","in_dashboard","source_charite","numbat_id_of_da_id","numbat_id_of_da_id_lc","listed_in_numbat_output","validated","Category","is_gen_rep","doi_id_orig_pair","doi_id_lc_pair_for_joining","doi_id_clean_pair","detected_in_numbat_originally_only_for_added","in_dcc","data_availability_statement","human_data","covid_related","charite_id_year","license","doi_id_lc_for_matching","is_detected_id_doi","das_for_analysis"
"10.1152/ajplung.00296.2022","10.1152/ajplung.00296.2022","10.1152/ajplung.00296.2022","https://www.ebi.ac.uk/ena/browser/view/PRJEB52219",NA,"https://www.ebi.ac.uk/ena/browser/view/prjeb52219","prjeb52219",NA,"","prjeb52219","erp136912",NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1152/ajplung.00296.2022;https://www.ebi.ac.uk/ena/browser/view/PRJEB52219","10.1152/ajplung.00296.2022;https://www.ebi.ac.uk/ena/browser/view/prjeb52219","10.1152/ajplung.00296.2022;prjeb52219",NA,"FALSE",NA,NA,NA,NA,NA,"10.1152/ajplung.00296.2022;prjeb52219",NA,NA
"10.3390/biology12020171","10.3390/biology12020171","10.3390/biology12020171","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199807",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse199807","gse199807",NA,"","gse199807",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.3390/biology12020171;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199807","10.3390/biology12020171;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse199807","10.3390/biology12020171;gse199807",NA,"FALSE",NA,NA,NA,NA,NA,"10.3390/biology12020171;gse199807",NA,NA
"10.1093/neuonc/noad030","10.1093/neuonc/noad030","10.1093/neuonc/noad030","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224218",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse224218","gse224218",NA,"","gse224218",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1093/neuonc/noad030;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224218","10.1093/neuonc/noad030;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse224218","10.1093/neuonc/noad030;gse224218",NA,"FALSE",NA,NA,NA,NA,NA,"10.1093/neuonc/noad030;gse224218",NA,NA
"10.1371/journal.pone.0279697","10.1371/journal.pone.0279697","10.1371/journal.pone.0279697","10.17605/OSF.IO/Z5U48",NA,"10.17605/osf.io/z5u48","10.17605/osf.io/z5u48","z5u48","10.17605/osf.io/z5u48","osf_z5u48",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","doi","TRUE","10.1371/journal.pone.0279697;10.17605/OSF.IO/Z5U48","10.1371/journal.pone.0279697;10.17605/osf.io/z5u48","10.1371/journal.pone.0279697;osf_z5u48",NA,"FALSE",NA,NA,NA,NA,NA,"10.1371/journal.pone.0279697;osf_z5u48",NA,NA
"10.1016/j.omtn.2023.102068","10.1016/j.omtn.2023.102068","10.1016/j.omtn.2023.102068","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241514",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse241514","gse241514",NA,"","gse241514",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.omtn.2023.102068;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241514","10.1016/j.omtn.2023.102068;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse241514","10.1016/j.omtn.2023.102068;gse241514",NA,"FALSE",NA,NA,NA,NA,NA,"10.1016/j.omtn.2023.102068;gse241514",NA,NA
"10.1016/j.ebiom.2023.104735","10.1016/j.ebiom.2023.104735","10.1016/j.ebiom.2023.104735","http://flowrepository.org/id/FR-FCM-Z68Q",NA,"http://flowrepository.org/id/fr-fcm-z68q","fr-fcm-z68q",NA,"","fr-fcm-z68q",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.ebiom.2023.104735;http://flowrepository.org/id/FR-FCM-Z68Q","10.1016/j.ebiom.2023.104735;http://flowrepository.org/id/fr-fcm-z68q","10.1016/j.ebiom.2023.104735;fr-fcm-z68q",NA,"FALSE",NA,NA,NA,NA,NA,"10.1016/j.ebiom.2023.104735;fr-fcm-z68q",NA,NA
"10.1126/scitranslmed.adh2156","10.1126/scitranslmed.adh2156","10.1126/scitranslmed.adh2156","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224186",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse224186","gse224186",NA,"","gse224186",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1126/scitranslmed.adh2156;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224186","10.1126/scitranslmed.adh2156;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse224186","10.1126/scitranslmed.adh2156;gse224186",NA,"FALSE",NA,NA,NA,NA,NA,"10.1126/scitranslmed.adh2156;gse224186",NA,NA
"10.1126/science.abo3627","10.1126/science.abo3627","10.1126/science.abo3627","https://www.ncbi.nlm.nih.gov/sra/SRX18661461[accn]",NA,"https://www.ncbi.nlm.nih.gov/sra/srx18661461[accn]","srx18661461[accn]",NA,"srx18661461","srx18661461",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1126/science.abo3627;https://www.ncbi.nlm.nih.gov/sra/SRX18661461[accn]","10.1126/science.abo3627;https://www.ncbi.nlm.nih.gov/sra/srx18661461[accn]","10.1126/science.abo3627;srx18661461",NA,"FALSE",NA,NA,NA,NA,NA,"10.1126/science.abo3627;srx18661461",NA,NA
"10.1126/science.abo3627","10.1126/science.abo3627","10.1126/science.abo3627","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002245.v1.p1",NA,"https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002245.v1.p1","phs002245.v1.p1",NA,"phs002245","phs002245",NA,NA,"restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1126/science.abo3627;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002245.v1.p1","10.1126/science.abo3627;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002245.v1.p1","10.1126/science.abo3627;phs002245",NA,"FALSE",NA,NA,NA,NA,NA,"10.1126/science.abo3627;phs002245",NA,NA
"10.1093/neuonc/noad078","10.1093/neuonc/noad078","10.1093/neuonc/noad078","https://ega-archive.org/datasets/EGAD00001010171",NA,"https://ega-archive.org/datasets/egad00001010171","egad00001010171",NA,"","egad00001010171",NA,NA,"restricted",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1093/neuonc/noad078;https://ega-archive.org/datasets/EGAD00001010171","10.1093/neuonc/noad078;https://ega-archive.org/datasets/egad00001010171","10.1093/neuonc/noad078;egad00001010171",NA,"FALSE","TRUE","TRUE","FALSE","2023","DTA","10.1093/neuonc/noad078;egad00001010171",NA,"TRUE"
