"doi_charite","charite_data_id_or_acc_nr"
"10.1192/bjp.2023.107","10.15154/1519007"
"10.1016/j.biopsych.2021.04.006","10.7910/dvn/25833"
"10.1038/s41467-023-39253-3","gcst009541"
"10.1172/jci169225","gse154775"
"10.1038/s41467-023-38044-0","gse21687"
"10.1038/s41467-023-38044-0","gse64415"
"10.1038/s41588-023-01422-x","phs000431"
"10.1038/s41591-023-02397-2","phs000974"
"10.1038/s41467-023-39253-3","phs001672"
"10.1158/2643-3230.bcd-19-0059","srr12801265"
