"doi_charite","charite_data_id_or_acc_nr","charite_id_year","comments"
"10.1192/bjp.2023.107","10.15154/1519007",NA,"couldn't find a year"
"10.1158/2643-3230.bcd-19-0059","srr12801265",NA,"couldn't find the dataset"
