"doi","publication_year","authors"
"https://doi.org/10.1016/j.biopsych.2021.04.006",2021,"Ningfei Li;Barbara Hollunder;Juan Carlos Baldermann;Astrid Kibleur;Svenja Treu;Harith Akram;Bassam Al‐Fatly;Bryan A. Strange;Juan A. Barcia;Ludvic Zrinzo;Eileen M. Joyce;Stéphan Chabardès;Veerle Visser‐Vandewalle;Mircea Polosan;Jens Kuhn;Andrea A. Kühn;Andreas Horn"
"https://doi.org/10.1016/j.bpsgos.2022.01.009",2022,"Florence Thirion;Helene Speyer;Tue H. Hansen;Trine Nielsen;Yong Fan;Emmanuelle Le Chatelier;Sébastien Fromentin;Magali Berland;Florian Plaza Oñate;Nicolas Pons;Nathalie Galleron;Florence Levenez;Lajos Markó;Till Birkner;Torben Jørgensen;Sofia K. Forslund;Henrik Vestergaard;Torben Hansen;Merete Nordentoft;Ole Mors;Michael E. Benros;Oluf Pedersen;S. Dusko Ehrlich"
"https://doi.org/10.1016/j.celrep.2020.107764",2020,"Irem Ozkan‐Dagliyan;J. Nathaniel Diehl;Samuel D. George;Antje Schaefer;Bjoern Papke;Kathleen Klotz‐Noack;Andrew M. Waters;Craig M. Goodwin;Prson Gautam;Mariaelena Pierobon;Sen Peng;Thomas S.K. Gilbert;Kevin Lin;Onur Dağliyan;Krister Wennerberg;Emanuel F. Petricoin;Nhan L. Tran;Shripad V. Bhagwat;Ramón V. Tiu;Sheng-Bin Peng;Laura E. Herring;Lee M. Graves;Christine Sers;Kris C. Wood;Adrienne D. Cox;Channing J. Der"
"https://doi.org/10.1016/j.celrep.2020.108117",2020,"Francesca Briganti;Han Sun;Wei Wu;Jingyan Wu;Chenchen Zhu;Martin Liss;Ioannis Karakikes;Shannon Rego;Andrea Cipriano;M Snyder;Benjamin Meder;Zhenyu Xu;Gilles Millat;Michael Gotthardt;Mark Mercola;Lars M. Steinmetz"
"https://doi.org/10.1016/j.celrep.2021.109878",2021,"Lutz Menzel;Maria Zschummel;Tadhg Crowley;Vedran Franke;Michael Grau;Carolin Ulbricht;Anja E. Hauser;Volker Siffrin;Marc Bajénoff;Sophie E. Acton;Altuna Akalin;Georg Lenz;Gerald Willimsky;Uta E. Höpken;Armin Rehm"
"https://doi.org/10.1016/j.chom.2021.04.005",2021,"Hejun Liu;Meng Yuan;Deli Huang;Sandhya Bangaru;Fangzhu Zhao;Chang‐Chun D. Lee;Linghang Peng;Shawn Barman;Xueyong Zhu;David Nemazee;Dennis R. Burton;Marit J. van Gils;Rogier W. Sanders;Hans‐Christian Kornau;S. Momsen Reincke;Harald Prüß;Jakob Kreye;Nicholas C. Wu;Andrew B. Ward;Ian A. Wilson"
"https://doi.org/10.1016/j.dib.2021.107320",2021,"Christian Schinke;Valeria Fernández Vallone;Andranik Ivanov;Yangfan Peng;Péter Körtvelyessy;Luca Nolte;Petra Huehnchen;Dieter Beule;Harald Stachelscheid;Wolfgang Boehmerle;Matthias Endres"
"https://doi.org/10.1016/j.ebiom.2023.104583",2023,"Joonatan Palmu;Christin S. Börschel;Alfredo Ortega‐Alonso;Lajos Markó;Michael Inouye;Pekka Jousilahti;Rodolfo A. Salido;Karenina Sanders;Caitriona Brennan;Gregory Humphrey;Jon G. Sanders;Friederike Gutmann;Dominik Linz;Veikko Salomaa;Aki S. Havulinna;Sofia K. Forslund;Rob Knight;Leo Lahti;Teemu Niiranen;Renate B. Schnabel"
"https://doi.org/10.1016/j.isci.2021.102151",2021,"Emanuel Wyler;Kirstin Mösbauer;Vedran Franke;Asija Diag;Lina Theresa Gottula;Roberto Arsiè;Filippos Klironomos;David Koppstein;Katja Hönzke;Salah Ayoub;Christopher Buccitelli;Karen Hoffmann;Anja Richter;Ivano Legnini;Andranik Ivanov;Tommaso Mari;Simone Del Giudice;Jan Papies;Samantha D. Praktiknjo;Thomas F. Meyer;Marcel A. Müller;Daniela Niemeyer;Andreas C. Hocke;Matthias Selbach;Altuna Akalin;Nikolaus Rajewsky;Christian Drosten;Markus Landthaler"
"https://doi.org/10.1016/j.isci.2021.102234",2021,"Veith Weilnhammer;Meera Chikermane;Philipp Sterzer"
"https://doi.org/10.1016/j.isci.2021.102618",2021,"Joseph L. Regan;Dirk Schumacher;Stephanie Staudte;Andreas Steffen;Ralf Lesche;Joern Toedling;Thibaud Jourdan;Johannes Haybaeck;Dominik Mumberg;David Henderson;Balázs Győrffy;Christian Regenbrecht;Ulrich Keilholz;Reinhold Schäfer;Martin Lange"
"https://doi.org/10.1016/j.jbc.2021.101224",2021,"Kristina Bubb;Tatjana Holzer;Janica L. Nolte;Marcus Krüger;Richard Wilson;Ursula Schlötzer‐Schrehardt;Jürgen Brinckmann;Janine Altmüller;Attila Aszódi;Lutz Fleischhauer;Hauke Clausen‐Schaumann;Kristina Probst;Bent Brachvogel"
"https://doi.org/10.1016/j.lanepe.2023.100770",2023,"Tilman Steinert;Johanna Baumgardt;Andreas Bechdolf;Felix Bühling‐Schindowski;Celline Cole;Erich Flammer;Susanne Jaeger;Julia Junghanss;Marie Kampmann;Lieselotte Mahler;Rainer Muche;Dorothea Sauter;Angelika Vandamme;Sophie Hirsch"
"https://doi.org/10.1016/j.lfs.2021.119158",2021,"Wilhelm Bertrams;Kathrin Griss;Maria Han;Kerstin Seidel;Stefan Hippenstiel;Norbert Suttorp;Florian Finkernagel;Jochen Wilhelm;Claus Vogelmeier;Bernd Schmeck"
"https://doi.org/10.1016/j.molcel.2020.11.037",2020,"Matthew L. Kraushar;Ferdinand Krupp;Dermot Harnett;Paul Turko;Mateusz C. Ambrozkiewicz;Thiemo Sprink;Koshi Imami;Manuel Günnigmann;Ulrike Zinnall;Carlos H. Vieira-Vieira;Theres Schaub;Agnieszka Münster‐Wandowski;Jörg Bürger;Екатерина Борисова;Hiroshi Yamamoto;Mladen‐Roko Rašin;Uwe Ohler;Dieter Beule;Thorsten Mielke;Victor Tarabykin;Markus Landthaler;Günter Krämer;Imre Vida;Matthias Selbach;Christian M. T. Spahn"
"https://doi.org/10.1016/j.nbd.2021.105391",2021,"Christian Schinke;Valeria Fernández Vallone;Andranik Ivanov;Yangfan Peng;Péter Körtvélyessy;Luca Nolte;Petra Huehnchen;Dieter Beule;Harald Stachelscheid;Wolfgang Boehmerle;Matthias Endres"
"https://doi.org/10.1016/j.neo.2023.100934",2023,"Inga Hoffmann;Mihnea P. Dragomir;Nanna Monjé;Carlotta Keunecke;Catarina Alisa Kunze;Simon Schallenberg;Sofya Marchenko;Wolfgang Schmitt;Hagen Kulbe;Jalid Sehouli;Elena Ioana Braicu;Paul Jank;Carsten Denkert;Silvia Darb‐Esfahani;David Horst;Bruno V. Sinn;Christine Sers;Philip Bischoff;Eliane T. Taube"
"https://doi.org/10.1016/j.neuroimage.2021.118365",2021,"Daniel Kaiser;Greta Häberle;Radoslaw M. Cichy"
