"doi","publication_year","authors"
"https://doi.org/10.1038/nature24040",2017,"Hezhe Lu;Shujing Liu;Gao Zhang;Bin Wu;Yueyao Zhu;Dennie T. Frederick;Yi Hu;Wenqun Zhong;Sergio Randell;Norah Sadek;Wei Zhang;Gang Chen;Chaoran Cheng;Jingwen Zeng;Lawrence W. Wu;Jie Zhang;Xiaoming Liu;Wei Xu;Clemens Krepler;Katrin Sproesser;Min Xiao;Benchun Miao;Jianglan Liu;Claire Song;Jephrey Y. Liu;Giorgos C. Karakousis;Lynn M. Schuchter;Yiling Lu;Gordon B. Mills;Yu‐Sheng Cong;Jonathan Chernoff;Jun Guo;Genevieve M. Boland;Ryan J. Sullivan;Zhi Wei;Jeffrey Field;Ravi K. Amaravadi;Keith T. Flaherty;Meenhard Herlyn;Xiaowei Xu;Wei Guo"
"https://doi.org/10.1038/s41380-020-0745-1",2020,"Tina Notter;Sina M. Schalbetter;Nicholas E. Clifton;Daniele Mattei;Juliet Richetto;Kerrie L. Thomas;Urs Meyer;Jérémy Hall"
"https://doi.org/10.1038/s41388-021-01738-0",2021,"Natalia Voronina;Christian Aichmüller;Thorsten Kolb;Andrey Korshunov;Marina Ryzhova;Jill S. Barnholtz‐Sloan;Gino Cioffi;Martin Sill;Andreas von Deimling;Stefan M. Pfister;Jan Gronych;David Jones;Jonas Frisén;Marc Zapatka;Aurélie Ernst"
"https://doi.org/10.1038/s41389-020-00246-2",2020,"Ricardo Coelho;Sara Ricardo;Ana Luísa Amaral;Yen‐Lin Huang;Mariana Nunes;José Pedro Neves;Nuno Mendes;Mónica Núñez López;Carla Bartosch;Verônica Moreira Souto Ferreira;Raquel Portugal;José Manuel Lopes;Raquel Almeida;Viola Heinzelmann‐Schwarz;Francis Jacob;Leonor David"
"https://doi.org/10.1038/s41396-022-01262-3",2022,"Jordi Mayneris‐Perxachs;Maria Arnoriaga‐Rodríguez;Josep Garre‐Olmo;Josep Puig;Rafel Ramos;María Trelis;Aurelijus Burokas;Clàudia Coll;Cristina Zapata-Tona;Salvador Pedraza;Vicente Pérez‐Brocal;Lluís Ramió;Wifredo Ricart;Andrés Moyá;Mariona Jové;Joaquím Sol;Manuel Portero‐Otín;Reinald Pamplona;Rafaël Maldonado;José Manuel Fernández‐Real"
"https://doi.org/10.1038/s41467-019-10766-0",2019,"Sarah Irmscher;Silke R. Brix;Svante Zipfel;Luke D. Halder;Sibel Mutlutürk;Sonia Wulf;Evaldas Girdauskas;Hermann Reichenspurner;Rolf A.K. Stahl;Berit Jungnickel;Thorsten Wiech;Peter F. Zipfel;Christine Skerka"
"https://doi.org/10.1038/s41467-020-18070-y",2020,"Yura Grabovska;Alan Mackay;Patricia O’Hare;Stephen Crosier;Martina Finetti;Ed C. Schwalbe;Jessica C. Pickles;Amy R. Fairchild;Aimee Avery;Julia Cockle;Rebecca M. Hill;Janet C. Lindsey;Debbie Hicks;Mark Kristiansen;Jane Chalker;John Anderson;Darren Hargrave;Thomas S. Jacques;Karin Straathof;Simon Bailey;Chris Jones;Steven C. Clifford;Daniel Williamson"
"https://doi.org/10.1038/s41467-021-21952-4",2021,"Marta Guindo-Martínez;Ramon Amela;Sílvia Bonàs‐Guarch;Montserrat Puiggròs;Cecilia Salvoro;Irene Miguel-Escalada;Caitlin E. Carey;Joanne B. Cole;Sina Rüeger;Elizabeth G. Atkinson;Aaron Leong;Friman Sánchez;Cristian Ramon-Cortes;Jorge Ejarque;Duncan S. Palmer;Mitja Kurki;Krishna G. Aragam;José C. Florez;Rosa M. Badía;Josep M. Mercader;David Torrents"
"https://doi.org/10.1038/s41467-021-22962-y",2021,"Aaro Salosensaari;Ville Laitinen;Aki S. Havulinna;Guillaume Méric;Susan Cheng;Markus Perola;Liisa Valsta;Georg Alfthan;Michael Inouye;Jeramie D. Watrous;Tao Long;Rodolfo A. Salido;Karenina Sanders;Caitriona Brennan;Gregory Humphrey;Jon G. Sanders;Mohit Jain;Pekka Jousilahti;Veikko Salomaa;Rob Knight;Leo Lahti;Teemu Niiranen"
"https://doi.org/10.1038/s41467-021-23491-4",2021,"Björn‐Hergen Laabs;Christine Klein;Jelena Pozojevic;Aloysius Domingo;Norbert Brüggemann;Karen Grütz;Raymond L. Rosales;Roland Dominic G. Jamora;Gerard Saranza;Cid Czarina E. Diesta;Michael Wittig;Susen Schaake;Marija Dulovic‐Mahlow;Jana Quismundo;Pia Otto;Patrick Acuña;Criscely L. Go;Nutan Sharma;Trisha Multhaupt‐Buell;Ulrich Müller;Henrike Hanßen;Fabian Kilpert;André Franke;Arndt Rolfs;Peter Bauer;Valerija Dobričić;Katja Lohmann;Laurie J. Ozelius;Frank J. Kaiser;Inke R. König;Ana Westenberger"
